bike_id,brand_id,bike_name,brand,is_ev,rating,pros,cons,year,sentiment
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.9,Great mileage,Outdated features,2021,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,3.4,Comfortable ride,Heavy for city,2020,Neutral
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.0,Stylish design,Vibrations at high speed,2023,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,3.7,Great mileage,Fuel price concern,2020,Neutral
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.4,Comfortable ride,Service cost rising,2020,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.9,Stylish design,Service cost rising,2023,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,3.8,Comfortable ride,Average build quality,2022,Neutral
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,2.8,Great mileage,Heavy for city,2023,Negative
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.0,Reliable,Outdated features,2021,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.7,Comfortable ride,No Bluetooth,2020,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.5,Smooth engine,Small fuel tank,2020,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.5,Reliable,No Bluetooth,2022,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.0,Great mileage,Average build quality,2020,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,3.4,Powerful brakes,Vibrations at high speed,2022,Neutral
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.5,Low running cost,No Bluetooth,2021,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,3.7,Smooth engine,Fuel price concern,2021,Neutral
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,5.0,Good resale value,Vibrations at high speed,2021,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.5,Smooth engine,Small fuel tank,2022,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,3.9,Value for money,No Bluetooth,2021,Neutral
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,3.8,Reliable,No Bluetooth,2021,Neutral
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.1,Good resale value,Vibrations at high speed,2021,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.1,Stylish design,Service cost rising,2021,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.9,Value for money,Small fuel tank,2022,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.3,Stylish design,Service cost rising,2022,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,3.8,Great mileage,Service cost rising,2020,Neutral
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,5.0,Reliable,Small fuel tank,2022,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.2,Smooth engine,Service cost rising,2022,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.7,Comfortable ride,Average build quality,2023,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,3.8,Value for money,Heavy for city,2022,Neutral
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.4,Easy maintenance,Service cost rising,2022,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.4,Low running cost,Small fuel tank,2023,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,3.1,Reliable,Service cost rising,2021,Neutral
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,5.0,Stylish design,Average build quality,2020,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,5.0,Great mileage,Vibrations at high speed,2021,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.0,Easy maintenance,Small fuel tank,2020,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,3.5,Powerful brakes,Small fuel tank,2023,Neutral
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.4,Stylish design,Outdated features,2020,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.3,Smooth engine,Poor suspension,2022,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.4,Reliable,Vibrations at high speed,2022,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.3,Powerful brakes,Heavy for city,2023,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.5,Great mileage,Outdated features,2021,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,5.0,Stylish design,Vibrations at high speed,2022,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,4.5,Stylish design,Loud exhaust,2021,Positive
BK001,BR01,Hero Splendor Plus,Hero MotoCorp,False,3.6,Easy maintenance,No Bluetooth,2021,Neutral
